sno,label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,update_date,new_balance,highest_balance,report_date
0,1,54982665,5,1245.5,3,77000,2,15,5,109,5,151300,244.9489743,0,0,0,0,9,10,60500,31-01-2015,6657.6,18934,19-09-2015
1,1,54982665,5,1245.5,3,77000,2,15,5,109,5,151300,244.9489743,0,0,0,0,18,10,68200,28-04-2009,153792,149387,10-08-2015
2,1,54982665,5,1245.5,3,77000,2,15,5,109,5,151300,244.9489743,0,0,0,0,1,5,68200,30-03-2009,0,150500,10-08-2015
3,1,54982665,5,1245.5,3,77000,2,15,5,109,5,151300,244.9489743,0,2,26,11906,6,10,68200,17-05-2007,0,46371,12-07-2013
4,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,4,6,68200,02-06-2016,15120,21500,19-04-2016
5,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,5,6,68200,17-12-2015,5596.8,14500,19-04-2016
6,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,5,10,40700,20-11-2015,8257.2,13119,19-03-2016
7,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,12,6,68200,27-12-2014,0,66701,18-09-2015
8,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,28,10,129800,02-10-2014,1633.2,29993,23-04-2016
9,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,8,6,68200,30-10-2012,0,41000,23-06-2013
10,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,2,2,0,195,2,10,38500,12-05-2012,0,7891,22-07-2014
11,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,21,13,68200,04-12-2010,0,38000,21-02-2012
12,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,35,3,68200,18-08-2008,0,125500,12-01-2015
13,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,3,10,68200,03-03-2008,0,601,12-01-2015
14,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,3,10,68200,10-02-2008,0,750,12-01-2015
15,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,2,6,68200,08-04-2006,0,12500,30-03-2007
16,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,0,2,68200,17-12-2005,0,80500,17-12-2007
17,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,36,2,68200,26-11-2005,0,309500,12-07-2015
18,0,59004779,4,1277,1,113000,2,8,-1,100,3,341759,207.17384,0,0,0,0,10,2,68200,09-05-2003,0,360500,28-11-2005
19,0,58990862,7,1298,1,110000,2,11,-1,101,5,72001,1,0,0,0,0,6,5,68200,19-08-2015,273850.8,250500,18-12-2015
20,0,58990862,7,1298,1,110000,2,11,-1,101,5,72001,1,0,0,0,0,6,10,102300,18-08-2015,74949.6,90029,25-01-2016
21,0,58990862,7,1298,1,110000,2,11,-1,101,5,72001,1,0,0,0,0,6,5,68200,19-07-2015,116037.6,109500,25-12-2015
22,0,58990862,7,1298,1,110000,2,11,-1,101,5,72001,1,0,0,0,0,11,10,68200,30-03-2015,-9560.4,30610,02-09-2016
23,0,58990862,7,1298,1,110000,2,11,-1,101,5,72001,1,0,0,0,0,12,5,68200,02-01-2015,185461.2,184055,20-11-2015
24,0,58990862,7,1298,1,110000,2,11,-1,101,5,72001,1,0,0,0,0,23,13,68200,02-03-2014,14334,48500,24-01-2016
